event_id,time,scenario_phase,weather_condition,crowd_outside,transport_arrival_next_10min,crowd_growth_rate,gate_a_queue,gate_b_queue,gate_c_queue,gate_d_queue,gate_a_status,gate_b_status,gate_c_status,gate_d_status,section_a,section_b,section_c,section_d,food_court,toilet,facility_demand_forecast,parking_occupancy_percent,emergency_status,staff_security,staff_food,staff_medical,vip_early_entry,risk_level,predicted_risk_next_15min,bottleneck_prediction,recommended_action
E001_T01,09:00:00Z,pre_event,Light_Rain,36,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,6,14,Low_Facility_Demand,48,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E001_T02,09:15:00Z,pre_event,Heavy_Rain,73,0,104.4,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,28,9,Low_Facility_Demand,46,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E001_T03,09:30:00Z,pre_event,Cloudy,110,108,51.2,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,20,3,Low_Facility_Demand,41,Normal,5,3,2,True,Medium,Low,No_Bottleneck,prepare_gates
E001_T04,09:45:00Z,pre_event,Heavy_Rain,147,125,33.8,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,6,34,Low_Facility_Demand,20,Normal,5,3,2,False,Medium,Low,No_Bottleneck,prepare_gates
E001_T05,09:20:00Z,entry_start,Clear,318,144,116.3,60,0,0,0,Open,Closed,Closed,Closed,60,60,60,60,7,3,Low_Facility_Demand,57,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E001_T06,09:25:00Z,entry_start,Light_Rain,268,105,-15.7,199,0,0,0,Open,Closed,Closed,Closed,199,199,199,199,15,8,Medium_Facility_Demand,31,Normal,12,3,3,False,Critical,Critical,Gate_A_Bottleneck,open_gate_b_critical
E001_T07,09:30:00Z,entry_start,Clear,218,115,-18.7,83,56,0,0,Open,Open,Closed,Closed,83,139,139,139,21,7,Medium_Facility_Demand,58,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E001_T08,09:35:00Z,entry_start,Heavy_Rain,168,139,-22.9,103,118,0,0,Open,Open,Closed,Closed,103,221,221,221,6,16,Medium_Facility_Demand,58,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E001_T09,09:40:00Z,entry_rush,Heavy_Rain,118,148,-29.8,27,57,39,45,Open,Open,Open,Open,27,84,123,168,9,30,Medium_Facility_Demand,7,Normal,7,3,3,False,High,Medium,No_Bottleneck,balanced_flow
E001_T10,09:45:00Z,entry_rush,Heavy_Rain,68,121,-42.4,21,47,48,21,Open,Open,Open,Open,21,68,116,137,24,34,Medium_Facility_Demand,7,Normal,7,3,3,False,High,Medium,No_Bottleneck,balanced_flow
E001_T11,09:50:00Z,entry_rush,Cloudy,18,127,-73.5,24,48,38,28,Open,Open,Open,Open,24,72,110,138,0,25,Medium_Facility_Demand,21,Normal,7,3,3,False,High,Medium,No_Bottleneck,balanced_flow
E001_T12,09:55:00Z,entry_rush,Cloudy,0,85,-100.0,63,44,35,38,Open,Open,Open,Open,63,107,142,180,2,34,Medium_Facility_Demand,29,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E001_T13,10:00:00Z,entry_complete,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,37,27,Medium_Facility_Demand,6,Normal,5,3,2,False,Low,Low,No_Bottleneck,balanced_flow
E001_T14,10:05:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,7,0,Medium_Facility_Demand,46,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T15,10:10:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,4,3,Medium_Facility_Demand,13,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T16,10:15:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,39,26,Medium_Facility_Demand,54,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T17,10:20:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,30,6,Medium_Facility_Demand,26,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T18,10:25:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,24,18,Medium_Facility_Demand,61,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T19,10:30:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,11,29,Medium_Facility_Demand,73,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T20,10:35:00Z,event_active,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,9,8,Medium_Facility_Demand,6,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T21,10:40:00Z,event_active,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,16,33,Medium_Facility_Demand,23,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T22,10:45:00Z,halftime_prep,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,93,106,80,122,21,87,Medium_Facility_Demand,22,Normal,5,6,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T23,10:50:00Z,halftime_exit,Cloudy,32,0,3200.0,0,0,0,0,Closed,Closed,Closed,Closed,94,72,104,66,49,63,Medium_Facility_Demand,33,Normal,5,6,2,False,Low,Low,No_Bottleneck,open_more_exits
E001_T24,10:55:00Z,halftime_peak,Heavy_Rain,0,0,-100.0,0,0,0,0,Closed,Closed,Closed,Closed,87,111,102,76,145,118,Critical_Food_Demand,85,Normal,5,6,2,False,Medium,Low,Food_Court_Bottleneck,manage_food_queue
E001_T25,11:00:00Z,halftime_return,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,61,113,91,79,125,84,Critical_Food_Demand,85,Normal,5,6,2,False,Low,Low,Food_Court_Bottleneck,manage_food_queue
E001_T26,11:05:00Z,halftime_return,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,104,92,114,83,90,15,High_Food_Demand,65,Normal,5,6,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T27,11:10:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,37,27,Medium_Facility_Demand,6,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T28,11:15:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,40,20,Medium_Facility_Demand,36,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T29,11:20:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,5,2,Medium_Facility_Demand,55,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T30,11:25:00Z,event_active,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,42,5,Medium_Facility_Demand,69,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T31,11:30:00Z,event_end,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,92,92,92,20,3,Medium_Facility_Demand,81,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E001_T32,11:35:00Z,exit_start,Heavy_Rain,0,31,0.0,65,0,0,0,Open,Closed,Closed,Closed,76,76,76,76,33,20,Medium_Facility_Demand,25,Normal,5,3,2,False,Low,Medium,No_Bottleneck,open_more_exits
E001_T33,11:40:00Z,exit_rush,Heavy_Rain,0,70,0.0,45,93,96,42,Open,Open,Open,Open,23,23,23,23,28,35,Low_Facility_Demand,78,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E001_T34,11:45:00Z,exit_rush,Cloudy,0,60,0.0,28,31,97,43,Open,Open,Open,Open,43,43,43,43,32,0,Low_Facility_Demand,72,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E001_T35,11:50:00Z,exit_rush,Heavy_Rain,0,67,0.0,34,83,94,56,Open,Open,Open,Open,26,26,26,26,23,14,Low_Facility_Demand,59,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E001_T36,11:55:00Z,exit_complete,Light_Rain,0,30,0.0,77,92,32,99,Open,Open,Open,Open,17,17,17,17,11,33,Low_Facility_Demand,47,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E001_T37,12:00:00Z,exit_complete,Clear,0,64,0.0,88,80,60,86,Open,Open,Open,Open,14,14,14,14,22,22,Low_Facility_Demand,31,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E001_T38,12:05:00Z,exit_complete,Clear,0,74,0.0,33,24,77,96,Open,Open,Open,Open,35,35,35,35,31,34,Low_Facility_Demand,51,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E002_T01,09:00:00Z,pre_event,Light_Rain,47,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,34,18,Low_Facility_Demand,27,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E002_T02,09:15:00Z,pre_event,Light_Rain,95,0,102.1,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,14,16,Low_Facility_Demand,22,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E002_T03,09:30:00Z,pre_event,Cloudy,142,138,50.0,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,38,36,Low_Facility_Demand,16,Normal,5,3,2,True,Medium,Low,No_Bottleneck,prepare_gates
E002_T04,09:45:00Z,pre_event,Clear,190,144,33.8,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,31,15,Low_Facility_Demand,56,Normal,5,3,2,False,Medium,Low,No_Bottleneck,prepare_gates
E002_T05,09:20:00Z,entry_start,Heavy_Rain,425,120,123.7,179,0,0,0,Open,Closed,Closed,Closed,179,179,179,179,42,23,Medium_Facility_Demand,64,Normal,12,3,3,False,Critical,Critical,Gate_A_Bottleneck,open_gate_b_critical
E002_T06,09:25:00Z,entry_start,Light_Rain,375,116,-11.8,165,0,0,0,Open,Closed,Closed,Closed,165,165,165,165,39,45,Medium_Facility_Demand,18,Normal,12,3,3,False,Critical,Critical,Gate_A_Bottleneck,open_gate_b_critical
E002_T07,09:30:00Z,entry_start,Light_Rain,325,118,-13.3,120,91,0,0,Open,Open,Closed,Closed,120,211,211,211,29,16,Medium_Facility_Demand,43,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E002_T08,09:35:00Z,entry_start,Heavy_Rain,275,137,-15.4,41,91,0,0,Open,Open,Closed,Closed,41,132,132,132,48,21,Medium_Facility_Demand,47,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E002_T09,09:40:00Z,entry_rush,Clear,225,133,-18.2,37,53,72,55,Open,Open,Open,Open,37,90,162,217,29,32,Medium_Facility_Demand,53,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E002_T10,09:45:00Z,entry_rush,Clear,175,83,-22.2,21,71,34,79,Open,Open,Open,Open,21,92,126,205,22,21,Medium_Facility_Demand,32,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E002_T11,09:50:00Z,entry_rush,Heavy_Rain,125,135,-28.6,24,35,72,70,Open,Open,Open,Open,24,59,131,201,17,40,Medium_Facility_Demand,7,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E002_T12,09:55:00Z,entry_rush,Heavy_Rain,75,145,-40.0,29,27,23,44,Open,Open,Open,Open,29,56,79,123,37,44,Medium_Facility_Demand,77,Normal,7,3,3,False,High,Medium,No_Bottleneck,balanced_flow
E002_T13,10:00:00Z,entry_complete,Clear,0,0,-100.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,19,24,Medium_Facility_Demand,57,Normal,5,3,2,False,Low,Low,No_Bottleneck,balanced_flow
E002_T14,10:05:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,33,34,Medium_Facility_Demand,28,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T15,10:10:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,9,32,Medium_Facility_Demand,52,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T16,10:15:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,49,16,Medium_Facility_Demand,43,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T17,10:20:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,59,33,Medium_Facility_Demand,22,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T18,10:25:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,37,25,Medium_Facility_Demand,56,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T19,10:30:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,16,39,Medium_Facility_Demand,44,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T20,10:35:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,16,6,Medium_Facility_Demand,70,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T21,10:40:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,10,7,Medium_Facility_Demand,56,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T22,10:45:00Z,halftime_prep,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,103,116,133,123,32,27,Medium_Facility_Demand,34,Normal,5,6,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T23,10:50:00Z,halftime_exit,Clear,124,0,12400.0,0,0,0,0,Closed,Closed,Closed,Closed,91,132,89,79,233,70,Critical_Food_Demand,59,Normal,5,6,2,False,Low,Low,Food_Court_Bottleneck,manage_food_queue
E002_T24,10:55:00Z,halftime_peak,Heavy_Rain,0,0,-100.0,0,0,0,0,Closed,Closed,Closed,Closed,126,137,156,120,207,153,Critical_Food_Demand,83,Normal,5,6,2,False,Medium,Low,Food_Court_Bottleneck,manage_food_queue
E002_T25,11:00:00Z,halftime_return,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,127,114,92,85,102,157,High_Food_Demand,53,Normal,5,6,2,False,Low,Low,Toilet_Bottleneck,deploy_food_staff
E002_T26,11:05:00Z,halftime_return,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,92,112,112,87,11,138,Medium_Facility_Demand,10,Normal,5,6,2,False,Low,Low,Toilet_Bottleneck,deploy_food_staff
