event_id,timestamp,density_estimate,expected_crowd_size,GateA,GateB,GateC,GateD,Food Court,SectionA,SectionB,SectionC,SectionD,Toilet,recommendations,risk_level,scenario_type,status
E001,2025-09-19T21:37:00Z,218,1737,Open,Closed,Closed,Open,393,344,345,264,364,386,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E002,2025-09-19T18:31:00Z,310,2465,Open,Open,Closed,Closed,487,455,476,434,507,430,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E003,2025-09-19T18:22:00Z,201,1467,Closed,Closed,Closed,Open,314,291,265,339,259,295,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E004,2025-09-19T21:11:00Z,121,850,Open,Open,Open,Open,225,0,207,163,208,172,Deploy staff to Food Court,Low,ExitFlow,Simulated
E005,2025-09-19T21:49:00Z,298,3424,Open,Open,Closed,Closed,760,631,672,662,663,673,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E006,2025-09-19T20:41:00Z,329,3437,Closed,Open,Open,Closed,694,672,730,646,700,754,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E007,2025-09-19T20:11:00Z,50,537,Closed,Open,Closed,Open,169,95,76,191,72,92,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E008,2025-09-19T20:21:00Z,508,4556,Closed,Open,Closed,Closed,906,971,912,912,940,926,Deploy staff to Food Court,Low,EntryRush,Simulated
E009,2025-09-19T18:30:00Z,518,4800,Closed,Closed,Closed,Closed,844,961,950,1012,916,975,Deploy staff to Food Court,Low,EntryRush,Simulated
E010,2025-09-19T18:19:00Z,515,4641,Open,Open,Open,Closed,954,834,1014,899,949,931,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E011,2025-09-19T19:36:00Z,428,4680,Open,Open,Closed,Open,894,946,888,1024,957,886,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E012,2025-09-19T19:09:00Z,403,3753,Open,Open,Closed,Open,772,612,799,752,756,699,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E013,2025-09-19T19:08:00Z,240,2909,Closed,Closed,Open,Open,593,579,626,536,554,606,Deploy staff to Food Court,Low,NormalFlow,Simulated
E014,2025-09-19T18:08:00Z,371,3323,Open,Open,Open,Closed,572,666,625,617,627,665,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E015,2025-09-19T20:12:00Z,463,4837,Open,Closed,Open,Open,1034,1081,961,981,1016,933,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E016,2025-09-19T20:16:00Z,458,4156,Open,Closed,Open,Closed,918,801,874,839,833,874,Deploy staff to Food Court,Low,EntryRush,Simulated
E017,2025-09-19T19:34:00Z,463,4669,Closed,Open,Closed,Open,942,920,870,902,867,827,Deploy staff to Food Court,Low,EntryRush,Simulated
E018,2025-09-19T21:05:00Z,123,1596,Closed,Open,Open,Closed,369,333,207,359,374,271,Deploy staff to Food Court,Low,EntryRush,Simulated
E019,2025-09-19T20:42:00Z,355,3473,Closed,Open,Closed,Open,702,696,705,738,788,604,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E020,2025-09-19T23:04:00Z,518,4466,Closed,Open,Closed,Open,876,879,852,888,945,814,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E021,2025-09-19T20:25:00Z,507,4529,Closed,Closed,Closed,Closed,905,840,867,936,828,794,Deploy staff to Food Court,Low,EntryRush,Simulated
E022,2025-09-19T18:28:00Z,256,2421,Closed,Closed,Open,Closed,531,476,439,381,406,395,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E023,2025-09-19T23:02:00Z,50,1596,Closed,Open,Closed,Open,383,355,282,345,361,267,Deploy staff to Food Court,Low,NormalFlow,Simulated
E024,2025-09-19T18:55:00Z,541,4971,Open,Open,Closed,Open,1000,1029,990,989,1056,938,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E025,2025-09-19T19:45:00Z,252,2181,Open,Closed,Closed,Open,414,401,499,419,504,455,Deploy staff to Food Court,Low,NormalFlow,Simulated
E026,2025-09-19T22:31:00Z,251,2153,Closed,Closed,Open,Closed,334,292,352,536,472,342,Deploy staff to Food Court,Low,NormalFlow,Simulated
E027,2025-09-19T22:57:00Z,363,3861,Closed,Open,Open,Closed,754,791,722,759,710,734,Deploy staff to Food Court,Low,NormalFlow,Simulated
E028,2025-09-19T19:13:00Z,171,1155,Open,Open,Open,Closed,244,266,232,154,262,258,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E029,2025-09-19T22:23:00Z,231,2636,Open,Open,Open,Closed,502,540,496,485,552,515,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E030,2025-09-19T23:13:00Z,357,4208,Open,Open,Closed,Closed,838,756,834,843,938,849,Deploy staff to Food Court,Low,NormalFlow,Simulated
E031,2025-09-19T19:23:00Z,250,2153,Closed,Closed,Open,Closed,461,480,449,491,405,456,Deploy staff to Food Court,Low,NormalFlow,Simulated
E032,2025-09-19T20:32:00Z,107,1277,Open,Closed,Open,Closed,211,353,288,160,267,211,Deploy staff to Food Court,Low,NormalFlow,Simulated
